monthly_charges,total_charges,cltv,tenure_months,contract,churn_value,churn_probability,churn_risk_tier,value_tier,service_bundle_score,risk_flag,churn_reason
53.85,108.15,3239,2,Month-to-month,1,0.703039,High Risk,Low Value,2,0,Competitor made better offer
70.7,151.65,2701,2,Month-to-month,1,0.8110311,High Risk,Low Value,0,1,Moved
99.65,820.5,5372,8,Month-to-month,1,0.93658733,High Risk,High Value,3,1,Moved
104.8,3046.05,5003,28,Month-to-month,1,0.5415614,Medium Risk,Mid Value,4,0,Moved
103.7,5036.3,5340,49,Month-to-month,1,0.52810687,Medium Risk,High Value,4,0,Competitor had better devices
55.2,528.35,5925,10,Month-to-month,1,0.24521506,Low Risk,High Value,2,0,Competitor offered higher download speeds
39.65,39.65,5433,1,Month-to-month,1,0.96304893,High Risk,High Value,2,0,Competitor offered more data
20.15,20.15,4832,1,Month-to-month,1,0.73043305,High Risk,Mid Value,0,0,Competitor made better offer
99.35,4749.15,5789,47,Month-to-month,1,0.48044333,Medium Risk,High Value,3,0,Competitor had better devices
30.2,30.2,2915,1,Month-to-month,1,0.8329896,High Risk,Low Value,1,0,Competitor had better devices
64.7,1093.1,3022,17,Month-to-month,1,0.58345366,Medium Risk,Low Value,2,0,Competitor offered higher download speeds
69.7,316.9,2454,5,Month-to-month,1,0.5882498,Medium Risk,Low Value,0,0,Competitor offered higher download speeds
106.35,3549.25,2941,34,Month-to-month,1,0.17837986,Low Risk,Low Value,4,0,Competitor offered higher download speeds
97.85,1105.4,5674,11,Month-to-month,1,0.97121966,High Risk,High Value,3,1,Competitor offered more data
80.65,144.15,5586,2,Month-to-month,1,0.813611,High Risk,High Value,1,1,Competitor offered more data
99.1,1426.4,2966,15,Month-to-month,1,0.40990627,Medium Risk,Low Value,4,0,Competitor offered more data
80.65,633.3,5302,8,Month-to-month,1,0.5188392,Medium Risk,High Value,1,1,Competitor made better offer
95.45,1752.55,3179,18,Month-to-month,1,0.6136168,High Risk,Low Value,2,0,Competitor made better offer
94.4,857.25,5571,9,Month-to-month,1,0.6916995,High Risk,High Value,2,1,Price too high
79.35,79.35,2483,1,Month-to-month,1,0.87776834,High Risk,Low Value,1,1,Product dissatisfaction
75.15,496.9,3457,7,Month-to-month,1,0.64679796,High Risk,Low Value,1,1,Service dissatisfaction
78.95,927.35,5806,12,Month-to-month,1,0.6648936,High Risk,High Value,1,1,Lack of self-service on Website
21.05,113.85,2604,5,Month-to-month,1,0.41708222,Medium Risk,Low Value,0,0,Network reliability
98.5,2514.5,5337,25,Month-to-month,1,0.6853076,High Risk,High Value,4,0,Limited range of services
110.0,7611.85,5034,68,Two year,1,0.640923,High Risk,Mid Value,5,0,Lack of affordable download/upload speed
96.75,5238.9,5154,55,Month-to-month,1,0.069961466,Low Risk,High Value,3,0,Long distance charges
76.5,2868.15,2793,37,Month-to-month,1,0.07257162,Low Risk,Low Value,0,0,Extra data charges
100.25,1064.65,5998,10,Month-to-month,1,0.872622,High Risk,High Value,3,1,Price too high
74.4,229.55,4415,3,Month-to-month,1,0.85121095,High Risk,Mid Value,0,1,Product dissatisfaction
78.05,2135.5,4638,27,Month-to-month,1,0.31494844,Medium Risk,Mid Value,1,0,Service dissatisfaction
58.6,1502.65,4190,25,Month-to-month,1,0.6192511,High Risk,Mid Value,5,0,Lack of self-service on Website
35.45,35.45,2301,1,Month-to-month,1,0.91496474,High Risk,Low Value,1,0,Network reliability
44.35,81.25,2570,2,Month-to-month,1,0.74022573,High Risk,Low Value,0,0,Don't know
70.45,70.45,3964,1,Month-to-month,1,0.7309028,High Risk,Low Value,0,1,Don't know
71.15,563.65,2662,8,Month-to-month,1,0.6443534,High Risk,Low Value,3,1,Don't know
45.65,45.65,2600,1,Month-to-month,1,0.9076431,High Risk,Low Value,0,0,Poor expertise of online support
95.0,655.5,2786,7,Month-to-month,1,0.8297244,High Risk,Low Value,2,1,Poor expertise of phone support
82.4,1592.35,5719,20,Month-to-month,1,0.5917344,Medium Risk,High Value,1,0,Price too high
70.9,273.0,4287,4,Month-to-month,1,0.82564145,High Risk,Mid Value,0,1,Product dissatisfaction
45.3,2651.2,5444,58,Month-to-month,1,0.7887375,High Risk,High Value,3,0,Service dissatisfaction
104.4,242.8,4690,2,Month-to-month,1,0.8639654,High Risk,Mid Value,4,1,Lack of self-service on Website
94.85,5000.2,4328,53,One year,1,0.6326068,High Risk,Mid Value,3,0,Network reliability
74.45,1145.7,5717,15,Month-to-month,1,0.76138055,High Risk,High Value,0,0,Limited range of services
76.45,503.6,4419,7,Month-to-month,1,0.5165221,Medium Risk,Mid Value,1,1,Lack of affordable download/upload speed
29.95,29.95,4534,1,Month-to-month,1,0.6830157,High Risk,Mid Value,1,0,Long distance charges
84.5,662.65,2152,8,Month-to-month,1,0.73468703,High Risk,Low Value,1,1,Extra data charges
79.25,1111.65,5142,13,Month-to-month,1,0.76434517,High Risk,High Value,2,0,Price too high
